amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
113-2727089-1260259	113-2727089-1260259	2024-12-16T06:26:59+00:00	2024-12-22T03:47:22+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 8x10 - Large Orange Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug	N1338-1-Orange-8x10-US-V1	B0DBYSVWYJ	Shipped	1	USD	159.99	10.32					40.0		PHOENIX	AZ	85032-2364	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
114-6054772-0733018	114-6054772-0733018	2024-12-16T05:29:01+00:00	2024-12-18T01:26:56+00:00	Shipped	Amazon	Amazon.com			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	USD	38.99	3.02	5.84					5.84	Houston	TX	77089-1529	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false			false
113-6540091-6889829	113-6540091-6889829	2024-12-16T05:26:16+00:00	2024-12-18T01:54:48+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-P	G24268-7-Black-6x9-US-V1	B0DBYXH8YW	Shipped	1	USD	119.99	8.2					40.0		LAKEWOOD	CA	90712-2211	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
112-7833789-4076229	112-7833789-4076229	2024-12-16T04:28:45+00:00	2024-12-16T16:57:25+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Charcoal Grey Modern Abstract Geometric Dining Room Ru	G24136-13-Grey-5x7-US-V1	B0DBYZM1X6	Shipped	1	USD	69.99	3.28					17.5		ROUND ROCK	TX	78665-5665	US	PLM-523ee8f7-e964-4fd2-83c0-b42cbe0f8a10	false			false
112-4787588-1073068	112-4787588-1073068	2024-12-16T04:11:26+00:00	2024-12-17T16:17:04+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Area Rugs 9x12 Living Room - Large Washable Cream Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Colorful Traditional Floral Carpet Stain Re	G24267-1A-Cream-9x12-US-V1	B0DBYZ1P1H	Shipped	1	USD	219.99	18.15							NORTH RICHLAND HILLS	TX	76180-0222	US		false			false
112-4953946-0430623	112-4953946-0430623	2024-12-16T03:49:02+00:00	2024-12-16T17:19:14+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Cream Vintage Oriental Farmhouse Dining Room Rugs for	G24267-2-Beige-5x7-US-V1	B0DBVNXDMY	Shipped	1	USD	59.99	3.96					12.0		Little Elm	Tx	75068	US	PLM-c808f434-d5a8-4f3c-8a4c-3d149bbd8b71	false			false
114-4382618-8572227	114-4382618-8572227	2024-12-16T03:35:52+00:00	2024-12-17T20:14:23+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Vintage Oriental Farmhouse Dining Room Rugs	G24267-5-Green-5x7-US-V1	B0DBVNT5V3	Shipped	1	USD	65.99	5.25							St. Charles	Missouri	63303	US		false			false
114-4382618-8572227	114-4382618-8572227	2024-12-16T03:35:52+00:00	2024-12-17T20:14:23+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Sage Green Stain Resistant Dining Room Rug Farmhouse Low-Pile	G24267-5-Green-6x9-US-V1	B0DBVJDNXF	Shipped	1	USD	119.99	9.54							St. Charles	Missouri	63303	US		false			false
112-6008018-9945805	112-6008018-9945805	2024-12-16T02:10:23+00:00	2024-12-18T07:17:26+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Area Rugs 9x12 Living Room - Large Washable Cream Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Colorful Traditional Floral Carpet Stain Re	G24267-1A-Cream-9x12-US-V1	B0DBYZ1P1H	Shipped	1	USD	219.99	11.25					40.0		SOUTH EASTON	MA	02375-1524	US	PLM-7bc03c68-8258-4a53-b1c2-1834890f6ac8	false			false
112-9908356-8971440	112-9908356-8971440	2024-12-16T01:04:00+00:00	2024-12-18T20:19:42+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Modern Abstract Rainbow Dining Room Rugs In	N1338-3-Sage Green-5x7-US-V1	B0DBYV7V8N	Shipped	1	USD	69.99	4.32					3.5		LAS CRUCES	NM	88011-8424	US	PLM-f91280fc-e894-4993-beb1-71b037d90c18	false			false
